,date,teamAway,teamHome,attendance
0,16/06/2022,Golden State Warriors,Boston Celtics,19156
1,13/06/2022,Boston Celtics,Golden State Warriors,18064
2,10/06/2022,Golden State Warriors,Boston Celtics,19156
3,08/06/2022,Golden State Warriors,Boston Celtics,19156
4,05/06/2022,Boston Celtics,Golden State Warriors,18064
5,02/06/2022,Boston Celtics,Golden State Warriors,18064
6,29/05/2022,Boston Celtics,Miami Heat,20200
7,27/05/2022,Miami Heat,Boston Celtics,19156
8,26/05/2022,Dallas Mavericks,Golden State Warriors,18064
9,25/05/2022,Boston Celtics,Miami Heat,19819
10,24/05/2022,Golden State Warriors,Dallas Mavericks,20810
11,23/05/2022,Miami Heat,Boston Celtics,19156
12,22/05/2022,Golden State Warriors,Dallas Mavericks,20813
13,21/05/2022,Miami Heat,Boston Celtics,19156
14,20/05/2022,Dallas Mavericks,Golden State Warriors,18064
15,19/05/2022,Boston Celtics,Miami Heat,20100
16,18/05/2022,Dallas Mavericks,Golden State Warriors,18064
17,17/05/2022,Boston Celtics,Miami Heat,19774
18,15/05/2022,Milwaukee Bucks,Boston Celtics,19156
19,15/05/2022,Dallas Mavericks,Phoenix Suns,17071
20,13/05/2022,Memphis Grizzlies,Golden State Warriors,18064
21,13/05/2022,Boston Celtics,Milwaukee Bucks,17681
22,12/05/2022,Phoenix Suns,Dallas Mavericks,20777
23,12/05/2022,Miami Heat,Philadelphia 76ers,21082
24,11/05/2022,Milwaukee Bucks,Boston Celtics,19156
25,11/05/2022,Golden State Warriors,Memphis Grizzlies,17794
26,10/05/2022,Philadelphia 76ers,Miami Heat,19868
27,10/05/2022,Dallas Mavericks,Phoenix Suns,17071
28,09/05/2022,Memphis Grizzlies,Golden State Warriors,18064
29,09/05/2022,Boston Celtics,Milwaukee Bucks,17505
30,08/05/2022,Phoenix Suns,Dallas Mavericks,20610
31,08/05/2022,Miami Heat,Philadelphia 76ers,21194
32,07/05/2022,Memphis Grizzlies,Golden State Warriors,18064
33,07/05/2022,Boston Celtics,Milwaukee Bucks,17736
34,06/05/2022,Phoenix Suns,Dallas Mavericks,20777
35,06/05/2022,Miami Heat,Philadelphia 76ers,21033
36,04/05/2022,Philadelphia 76ers,Miami Heat,19759
37,04/05/2022,Dallas Mavericks,Phoenix Suns,17071
38,03/05/2022,Milwaukee Bucks,Boston Celtics,19156
39,03/05/2022,Golden State Warriors,Memphis Grizzlies,17794
40,02/05/2022,Philadelphia 76ers,Miami Heat,19620
41,02/05/2022,Dallas Mavericks,Phoenix Suns,17071
42,01/05/2022,Milwaukee Bucks,Boston Celtics,19156
43,01/05/2022,Golden State Warriors,Memphis Grizzlies,17794
44,29/04/2022,Memphis Grizzlies,Minnesota Timberwolves,20323
45,28/04/2022,Phoenix Suns,New Orleans Pelicans,18710
46,28/04/2022,Philadelphia 76ers,Toronto Raptors,19800
47,28/04/2022,Dallas Mavericks,Utah Jazz,18306
48,27/04/2022,Denver Nuggets,Golden State Warriors,18064
49,27/04/2022,Chicago Bulls,Milwaukee Bucks,17506
50,26/04/2022,Minnesota Timberwolves,Memphis Grizzlies,17794
51,26/04/2022,Atlanta Hawks,Miami Heat,19553
52,26/04/2022,New Orleans Pelicans,Phoenix Suns,17071
53,25/04/2022,Boston Celtics,Brooklyn Nets,18099
54,25/04/2022,Utah Jazz,Dallas Mavericks,20577
55,25/04/2022,Toronto Raptors,Philadelphia 76ers,20517
56,24/04/2022,Miami Heat,Atlanta Hawks,18951
57,24/04/2022,Milwaukee Bucks,Chicago Bulls,22020
58,24/04/2022,Golden State Warriors,Denver Nuggets,19628
59,24/04/2022,Phoenix Suns,New Orleans Pelicans,18962
60,23/04/2022,Boston Celtics,Brooklyn Nets,18175
61,23/04/2022,Memphis Grizzlies,Minnesota Timberwolves,19832
62,23/04/2022,Philadelphia 76ers,Toronto Raptors,19800
63,23/04/2022,Dallas Mavericks,Utah Jazz,18306
64,22/04/2022,Miami Heat,Atlanta Hawks,18421
65,22/04/2022,Milwaukee Bucks,Chicago Bulls,22667
66,22/04/2022,Phoenix Suns,New Orleans Pelicans,18962
67,21/04/2022,Golden State Warriors,Denver Nuggets,19627
68,21/04/2022,Memphis Grizzlies,Minnesota Timberwolves,19634
69,21/04/2022,Dallas Mavericks,Utah Jazz,18306
70,20/04/2022,Brooklyn Nets,Boston Celtics,19156
71,20/04/2022,Chicago Bulls,Milwaukee Bucks,17688
72,20/04/2022,Philadelphia 76ers,Toronto Raptors,19800
73,19/04/2022,Minnesota Timberwolves,Memphis Grizzlies,17794
74,19/04/2022,Atlanta Hawks,Miami Heat,19950
75,19/04/2022,New Orleans Pelicans,Phoenix Suns,17071
76,18/04/2022,Utah Jazz,Dallas Mavericks,20113
77,18/04/2022,Denver Nuggets,Golden State Warriors,18064
78,18/04/2022,Toronto Raptors,Philadelphia 76ers,20974
79,17/04/2022,Brooklyn Nets,Boston Celtics,19156
80,17/04/2022,Atlanta Hawks,Miami Heat,19514
81,17/04/2022,Chicago Bulls,Milwaukee Bucks,17717
82,17/04/2022,New Orleans Pelicans,Phoenix Suns,17071
83,16/04/2022,Utah Jazz,Dallas Mavericks,20013
84,16/04/2022,Denver Nuggets,Golden State Warriors,18064
85,16/04/2022,Minnesota Timberwolves,Memphis Grizzlies,17794
86,16/04/2022,Toronto Raptors,Philadelphia 76ers,20610
87,15/04/2022,Atlanta Hawks,Cleveland Cavaliers,19432
88,15/04/2022,New Orleans Pelicans,Los Angeles Clippers,19068
89,13/04/2022,Charlotte Hornets,Atlanta Hawks,18137
90,13/04/2022,San Antonio Spurs,New Orleans Pelicans,18610
91,12/04/2022,Cleveland Cavaliers,Brooklyn Nets,17732
92,12/04/2022,Los Angeles Clippers,Minnesota Timberwolves,17136
93,10/04/2022,Indiana Pacers,Brooklyn Nets,17967
94,10/04/2022,Washington Wizards,Charlotte Hornets,18465
95,10/04/2022,Milwaukee Bucks,Cleveland Cavaliers,19432
96,10/04/2022,San Antonio Spurs,Dallas Mavericks,20270
97,10/04/2022,Los Angeles Lakers,Denver Nuggets,19520
98,10/04/2022,Atlanta Hawks,Houston Rockets,18055
99,10/04/2022,Oklahoma City Thunder,Los Angeles Clippers,18210
100,10/04/2022,Boston Celtics,Memphis Grizzlies,17441
101,10/04/2022,Chicago Bulls,Minnesota Timberwolves,17136
102,10/04/2022,Golden State Warriors,New Orleans Pelicans,16595
103,10/04/2022,Toronto Raptors,New York Knicks,19812
104,10/04/2022,Miami Heat,Orlando Magic,19253
105,10/04/2022,Detroit Pistons,Philadelphia 76ers,21459
106,10/04/2022,Sacramento Kings,Phoenix Suns,17071
107,10/04/2022,Utah Jazz,Portland Trail Blazers,18123
108,09/04/2022,Sacramento Kings,Los Angeles Clippers,17568
109,09/04/2022,New Orleans Pelicans,Memphis Grizzlies,17207
110,09/04/2022,Indiana Pacers,Philadelphia 76ers,21171
111,09/04/2022,Golden State Warriors,San Antonio Spurs,18627
112,08/04/2022,Cleveland Cavaliers,Brooklyn Nets,18169
113,08/04/2022,Charlotte Hornets,Chicago Bulls,21461
114,08/04/2022,Portland Trail Blazers,Dallas Mavericks,20174
115,08/04/2022,Milwaukee Bucks,Detroit Pistons,22088
116,08/04/2022,Oklahoma City Thunder,Los Angeles Lakers,18997
117,08/04/2022,Atlanta Hawks,Miami Heat,19993
118,08/04/2022,Houston Rockets,Toronto Raptors,19800
119,08/04/2022,Phoenix Suns,Utah Jazz,18306
120,08/04/2022,New York Knicks,Washington Wizards,19472
121,07/04/2022,Orlando Magic,Charlotte Hornets,16427
122,07/04/2022,Memphis Grizzlies,Denver Nuggets,19520
123,07/04/2022,Los Angeles Lakers,Golden State Warriors,18064
124,07/04/2022,Boston Celtics,Milwaukee Bucks,18046
125,07/04/2022,San Antonio Spurs,Minnesota Timberwolves,17136
126,07/04/2022,Portland Trail Blazers,New Orleans Pelicans,12432
127,07/04/2022,Philadelphia 76ers,Toronto Raptors,19800
128,06/04/2022,Washington Wizards,Atlanta Hawks,17381
129,06/04/2022,Boston Celtics,Chicago Bulls,21095
130,06/04/2022,Dallas Mavericks,Detroit Pistons,18422
131,06/04/2022,Phoenix Suns,Los Angeles Clippers,19068
132,06/04/2022,Brooklyn Nets,New York Knicks,19812
133,06/04/2022,Oklahoma City Thunder,Utah Jazz,18306
134,05/04/2022,Houston Rockets,Brooklyn Nets,17768
135,05/04/2022,Milwaukee Bucks,Chicago Bulls,20799
136,05/04/2022,San Antonio Spurs,Denver Nuggets,17037
137,05/04/2022,Philadelphia 76ers,Indiana Pacers,15583
138,05/04/2022,Charlotte Hornets,Miami Heat,19600
139,05/04/2022,Washington Wizards,Minnesota Timberwolves,17136
140,05/04/2022,Portland Trail Blazers,Oklahoma City Thunder,14674
141,05/04/2022,Cleveland Cavaliers,Orlando Magic,16897
142,05/04/2022,Los Angeles Lakers,Phoenix Suns,17071
143,05/04/2022,New Orleans Pelicans,Sacramento Kings,16047
144,05/04/2022,Atlanta Hawks,Toronto Raptors,19800
145,05/04/2022,Memphis Grizzlies,Utah Jazz,18306
146,03/04/2022,Washington Wizards,Boston Celtics,19156
147,03/04/2022,Philadelphia 76ers,Cleveland Cavaliers,19432
148,03/04/2022,Minnesota Timberwolves,Houston Rockets,16539
149,03/04/2022,Detroit Pistons,Indiana Pacers,17407
150,03/04/2022,New Orleans Pelicans,Los Angeles Clippers,16840
151,03/04/2022,Denver Nuggets,Los Angeles Lakers,18997
152,03/04/2022,Dallas Mavericks,Milwaukee Bucks,17902
153,03/04/2022,Phoenix Suns,Oklahoma City Thunder,17078
154,03/04/2022,New York Knicks,Orlando Magic,15747
155,03/04/2022,Golden State Warriors,Sacramento Kings,17583
156,03/04/2022,Portland Trail Blazers,San Antonio Spurs,15816
157,03/04/2022,Miami Heat,Toronto Raptors,19800
158,02/04/2022,Brooklyn Nets,Atlanta Hawks,18126
159,02/04/2022,Miami Heat,Chicago Bulls,21697
160,02/04/2022,Utah Jazz,Golden State Warriors,18064
161,02/04/2022,Cleveland Cavaliers,New York Knicks,19812
162,02/04/2022,Charlotte Hornets,Philadelphia 76ers,21509
163,01/04/2022,Indiana Pacers,Boston Celtics,19156
164,01/04/2022,Minnesota Timberwolves,Denver Nuggets,19612
165,01/04/2022,Sacramento Kings,Houston Rockets,14857
166,01/04/2022,New Orleans Pelicans,Los Angeles Lakers,18997
167,01/04/2022,Phoenix Suns,Memphis Grizzlies,17794
168,01/04/2022,Los Angeles Clippers,Milwaukee Bucks,18023
169,01/04/2022,Detroit Pistons,Oklahoma City Thunder,16961
170,01/04/2022,Toronto Raptors,Orlando Magic,17566
171,01/04/2022,Portland Trail Blazers,San Antonio Spurs,17512
172,01/04/2022,Dallas Mavericks,Washington Wizards,17745
173,31/03/2022,Cleveland Cavaliers,Atlanta Hawks,17491
174,31/03/2022,Milwaukee Bucks,Brooklyn Nets,17917
175,31/03/2022,Los Angeles Clippers,Chicago Bulls,21519
176,31/03/2022,Philadelphia 76ers,Detroit Pistons,20023
177,31/03/2022,Los Angeles Lakers,Utah Jazz,18306
178,30/03/2022,Miami Heat,Boston Celtics,0
179,30/03/2022,Dallas Mavericks,Cleveland Cavaliers,19432
180,30/03/2022,Phoenix Suns,Golden State Warriors,18064
181,30/03/2022,Sacramento Kings,Houston Rockets,13365
182,30/03/2022,Denver Nuggets,Indiana Pacers,15036
183,30/03/2022,Charlotte Hornets,New York Knicks,19812
184,30/03/2022,Atlanta Hawks,Oklahoma City Thunder,15595
185,30/03/2022,New Orleans Pelicans,Portland Trail Blazers,18551
186,30/03/2022,Memphis Grizzlies,San Antonio Spurs,15821
187,30/03/2022,Minnesota Timberwolves,Toronto Raptors,19800
188,30/03/2022,Orlando Magic,Washington Wizards,16455
189,29/03/2022,Detroit Pistons,Brooklyn Nets,17559
190,29/03/2022,Los Angeles Lakers,Dallas Mavericks,20382
191,29/03/2022,Utah Jazz,Los Angeles Clippers,19068
192,29/03/2022,Milwaukee Bucks,Philadelphia 76ers,21467
193,29/03/2022,Chicago Bulls,Washington Wizards,15922
194,28/03/2022,Denver Nuggets,Charlotte Hornets,17614
195,28/03/2022,Orlando Magic,Cleveland Cavaliers,19432
196,28/03/2022,San Antonio Spurs,Houston Rockets,18055
197,28/03/2022,Atlanta Hawks,Indiana Pacers,14212
198,28/03/2022,Golden State Warriors,Memphis Grizzlies,17011
199,28/03/2022,Sacramento Kings,Miami Heat,19600
200,28/03/2022,Chicago Bulls,New York Knicks,19812
201,28/03/2022,Oklahoma City Thunder,Portland Trail Blazers,18188
202,28/03/2022,Boston Celtics,Toronto Raptors,19800
203,27/03/2022,Minnesota Timberwolves,Boston Celtics,19156
204,27/03/2022,Charlotte Hornets,Brooklyn Nets,18166
205,27/03/2022,Utah Jazz,Dallas Mavericks,20177
206,27/03/2022,New York Knicks,Detroit Pistons,19304
207,27/03/2022,Los Angeles Lakers,New Orleans Pelicans,18516
208,27/03/2022,Philadelphia 76ers,Phoenix Suns,17071
209,27/03/2022,Golden State Warriors,Washington Wizards,24760
210,26/03/2022,Chicago Bulls,Cleveland Cavaliers,19432
211,26/03/2022,Oklahoma City Thunder,Denver Nuggets,19520
212,26/03/2022,Milwaukee Bucks,Memphis Grizzlies,17794
213,26/03/2022,Brooklyn Nets,Miami Heat,19600
214,26/03/2022,San Antonio Spurs,New Orleans Pelicans,13097
215,26/03/2022,Sacramento Kings,Orlando Magic,16366
216,26/03/2022,Houston Rockets,Portland Trail Blazers,17821
217,26/03/2022,Indiana Pacers,Toronto Raptors,19800
218,25/03/2022,Golden State Warriors,Atlanta Hawks,17724
219,25/03/2022,Utah Jazz,Charlotte Hornets,19162
220,25/03/2022,Washington Wizards,Detroit Pistons,18943
221,25/03/2022,Philadelphia 76ers,Los Angeles Clippers,19068
222,25/03/2022,New York Knicks,Miami Heat,19600
223,25/03/2022,Dallas Mavericks,Minnesota Timberwolves,17136
224,25/03/2022,Houston Rockets,Portland Trail Blazers,16947
225,24/03/2022,Phoenix Suns,Denver Nuggets,19520
226,24/03/2022,Indiana Pacers,Memphis Grizzlies,16205
227,24/03/2022,Washington Wizards,Milwaukee Bucks,18018
228,24/03/2022,Chicago Bulls,New Orleans Pelicans,13973
229,24/03/2022,Cleveland Cavaliers,Toronto Raptors,19800
230,23/03/2022,Utah Jazz,Boston Celtics,0
231,23/03/2022,New York Knicks,Charlotte Hornets,16290
232,23/03/2022,Houston Rockets,Dallas Mavericks,20026
233,23/03/2022,Atlanta Hawks,Detroit Pistons,16212
234,23/03/2022,Sacramento Kings,Indiana Pacers,14227
235,23/03/2022,Philadelphia 76ers,Los Angeles Lakers,18997
236,23/03/2022,Brooklyn Nets,Memphis Grizzlies,17794
237,23/03/2022,Golden State Warriors,Miami Heat,19600
238,23/03/2022,Phoenix Suns,Minnesota Timberwolves,17136
239,23/03/2022,Orlando Magic,Oklahoma City Thunder,14393
240,23/03/2022,San Antonio Spurs,Portland Trail Blazers,16610
241,22/03/2022,Los Angeles Clippers,Denver Nuggets,16089
242,22/03/2022,Chicago Bulls,Milwaukee Bucks,17983
243,22/03/2022,Atlanta Hawks,New York Knicks,19812
244,22/03/2022,Golden State Warriors,Orlando Magic,17164
245,21/03/2022,Utah Jazz,Brooklyn Nets,17887
246,21/03/2022,Toronto Raptors,Chicago Bulls,21778
247,21/03/2022,New Orleans Pelicans,Charlotte Hornets,13351
248,21/03/2022,Los Angeles Lakers,Cleveland Cavaliers,19432
249,21/03/2022,Minnesota Timberwolves,Dallas Mavericks,20077
250,21/03/2022,Portland Trail Blazers,Detroit Pistons,14923
251,21/03/2022,Washington Wizards,Houston Rockets,13936
252,21/03/2022,Boston Celtics,Oklahoma City Thunder,15345
253,21/03/2022,Miami Heat,Philadelphia 76ers,21386
254,20/03/2022,New Orleans Pelicans,Atlanta Hawks,17123
255,20/03/2022,Boston Celtics,Denver Nuggets,19602
256,20/03/2022,San Antonio Spurs,Golden State Warriors,18064
257,20/03/2022,Memphis Grizzlies,Houston Rockets,18055
258,20/03/2022,Portland Trail Blazers,Indiana Pacers,16067
259,20/03/2022,Utah Jazz,New York Knicks,19812
260,20/03/2022,Oklahoma City Thunder,Orlando Magic,15012
261,20/03/2022,Toronto Raptors,Philadelphia 76ers,21180
262,20/03/2022,Phoenix Suns,Sacramento Kings,17583
263,19/03/2022,Dallas Mavericks,Charlotte Hornets,19279
264,19/03/2022,Detroit Pistons,Cleveland Cavaliers,19432
265,19/03/2022,Milwaukee Bucks,Minnesota Timberwolves,17136
266,19/03/2022,Los Angeles Lakers,Washington Wizards,20476
267,18/03/2022,Memphis Grizzlies,Atlanta Hawks,18062
268,18/03/2022,Portland Trail Blazers,Brooklyn Nets,17732
269,18/03/2022,Denver Nuggets,Cleveland Cavaliers,19432
270,18/03/2022,Indiana Pacers,Houston Rockets,13748
271,18/03/2022,Oklahoma City Thunder,Miami Heat,19600
272,18/03/2022,Washington Wizards,New York Knicks,19812
273,18/03/2022,Dallas Mavericks,Philadelphia 76ers,21428
274,18/03/2022,Chicago Bulls,Phoenix Suns,17071
275,18/03/2022,Boston Celtics,Sacramento Kings,15313
276,18/03/2022,New Orleans Pelicans,San Antonio Spurs,18354
277,18/03/2022,Los Angeles Lakers,Toronto Raptors,19800
278,18/03/2022,Los Angeles Clippers,Utah Jazz,18306
279,17/03/2022,Detroit Pistons,Orlando Magic,14369
280,16/03/2022,Dallas Mavericks,Brooklyn Nets,17981
281,16/03/2022,Atlanta Hawks,Charlotte Hornets,16648
282,16/03/2022,Philadelphia 76ers,Cleveland Cavaliers,19432
283,16/03/2022,Boston Celtics,Golden State Warriors,18064
284,16/03/2022,Phoenix Suns,Houston Rockets,18055
285,16/03/2022,Toronto Raptors,Los Angeles Clippers,19068
286,16/03/2022,Los Angeles Lakers,Minnesota Timberwolves,17136
287,16/03/2022,Portland Trail Blazers,New York Knicks,18213
288,16/03/2022,Milwaukee Bucks,Sacramento Kings,15864
289,16/03/2022,Oklahoma City Thunder,San Antonio Spurs,14994
290,16/03/2022,Chicago Bulls,Utah Jazz,18306
291,16/03/2022,Denver Nuggets,Washington Wizards,15326
292,15/03/2022,Memphis Grizzlies,Indiana Pacers,15027
293,15/03/2022,Detroit Pistons,Miami Heat,19600
294,15/03/2022,Phoenix Suns,New Orleans Pelicans,16789
295,15/03/2022,Brooklyn Nets,Orlando Magic,15282
296,14/03/2022,Portland Trail Blazers,Atlanta Hawks,16432
297,14/03/2022,Los Angeles Clippers,Cleveland Cavaliers,18742
298,14/03/2022,Washington Wizards,Golden State Warriors,18064
299,14/03/2022,Toronto Raptors,Los Angeles Lakers,18228
300,14/03/2022,Charlotte Hornets,Oklahoma City Thunder,15810
301,14/03/2022,Denver Nuggets,Philadelphia 76ers,21444
302,14/03/2022,Chicago Bulls,Sacramento Kings,15943
303,14/03/2022,Minnesota Timberwolves,San Antonio Spurs,14143
304,14/03/2022,Milwaukee Bucks,Utah Jazz,18306
305,13/03/2022,Indiana Pacers,Atlanta Hawks,17038
306,13/03/2022,Dallas Mavericks,Boston Celtics,19156
307,13/03/2022,New York Knicks,Brooklyn Nets,18057
308,13/03/2022,Los Angeles Clippers,Detroit Pistons,19313
309,13/03/2022,Houston Rockets,New Orleans Pelicans,15683
310,13/03/2022,Memphis Grizzlies,Oklahoma City Thunder,17482
311,13/03/2022,Philadelphia 76ers,Orlando Magic,14444
312,13/03/2022,Los Angeles Lakers,Phoenix Suns,17071
313,12/03/2022,Cleveland Cavaliers,Chicago Bulls,21727
314,12/03/2022,Toronto Raptors,Denver Nuggets,18659
315,12/03/2022,Milwaukee Bucks,Golden State Warriors,18064
316,12/03/2022,Minnesota Timberwolves,Miami Heat,19600
317,12/03/2022,Washington Wizards,Portland Trail Blazers,17524
318,12/03/2022,Indiana Pacers,San Antonio Spurs,14605
319,12/03/2022,Sacramento Kings,Utah Jazz,18306
320,11/03/2022,Los Angeles Clippers,Atlanta Hawks,16862
321,11/03/2022,Detroit Pistons,Boston Celtics,19156
322,11/03/2022,Dallas Mavericks,Houston Rockets,15060
323,11/03/2022,Washington Wizards,Los Angeles Lakers,18997
324,11/03/2022,New York Knicks,Memphis Grizzlies,17188
325,11/03/2022,Cleveland Cavaliers,Miami Heat,19600
326,11/03/2022,Charlotte Hornets,New Orleans Pelicans,16838
327,11/03/2022,Minnesota Timberwolves,Orlando Magic,14557
328,11/03/2022,Toronto Raptors,Phoenix Suns,17071
329,11/03/2022,Utah Jazz,San Antonio Spurs,15753
330,10/03/2022,Golden State Warriors,Denver Nuggets,19520
331,10/03/2022,Brooklyn Nets,Philadelphia 76ers,21408
332,09/03/2022,Boston Celtics,Charlotte Hornets,18086
333,09/03/2022,New York Knicks,Dallas Mavericks,20182
334,09/03/2022,Chicago Bulls,Detroit Pistons,18022
335,09/03/2022,Los Angeles Lakers,Houston Rockets,18055
336,09/03/2022,Washington Wizards,Los Angeles Clippers,15282
337,09/03/2022,Phoenix Suns,Miami Heat,19600
338,09/03/2022,Atlanta Hawks,Milwaukee Bucks,17341
339,09/03/2022,Oklahoma City Thunder,Minnesota Timberwolves,16191
340,09/03/2022,Orlando Magic,New Orleans Pelicans,15633
341,09/03/2022,Denver Nuggets,Sacramento Kings,14697
342,09/03/2022,Toronto Raptors,San Antonio Spurs,15121
343,09/03/2022,Portland Trail Blazers,Utah Jazz,18306
344,08/03/2022,Brooklyn Nets,Charlotte Hornets,17230
345,08/03/2022,Los Angeles Clippers,Golden State Warriors,18064
346,08/03/2022,Cleveland Cavaliers,Indiana Pacers,14066
347,08/03/2022,New Orleans Pelicans,Memphis Grizzlies,16433
348,08/03/2022,Milwaukee Bucks,Oklahoma City Thunder,15743
349,08/03/2022,Phoenix Suns,Orlando Magic,14024
350,07/03/2022,Utah Jazz,Dallas Mavericks,20077
351,07/03/2022,Golden State Warriors,Denver Nuggets,19542
352,07/03/2022,Atlanta Hawks,Detroit Pistons,14942
353,07/03/2022,Houston Rockets,Miami Heat,19600
354,07/03/2022,Portland Trail Blazers,Minnesota Timberwolves,16035
355,07/03/2022,Chicago Bulls,Philadelphia 76ers,20381
356,07/03/2022,New York Knicks,Sacramento Kings,14720
357,07/03/2022,Los Angeles Lakers,San Antonio Spurs,18354
358,06/03/2022,Brooklyn Nets,Boston Celtics,19156
359,06/03/2022,Toronto Raptors,Cleveland Cavaliers,19432
360,06/03/2022,New Orleans Pelicans,Denver Nuggets,14962
361,06/03/2022,Memphis Grizzlies,Houston Rockets,18055
362,06/03/2022,New York Knicks,Los Angeles Clippers,17422
363,06/03/2022,Phoenix Suns,Milwaukee Bucks,17495
364,06/03/2022,Utah Jazz,Oklahoma City Thunder,15079
365,06/03/2022,Indiana Pacers,Washington Wizards,13937
366,05/03/2022,San Antonio Spurs,Charlotte Hornets,18941
367,05/03/2022,Sacramento Kings,Dallas Mavericks,20060
368,05/03/2022,Golden State Warriors,Los Angeles Lakers,18997
369,05/03/2022,Orlando Magic,Memphis Grizzlies,17794
370,05/03/2022,Philadelphia 76ers,Miami Heat,19704
371,05/03/2022,Portland Trail Blazers,Minnesota Timberwolves,17136
372,04/03/2022,Milwaukee Bucks,Chicago Bulls,21259
373,04/03/2022,Houston Rockets,Denver Nuggets,16254
374,04/03/2022,Indiana Pacers,Detroit Pistons,17244
375,04/03/2022,Utah Jazz,New Orleans Pelicans,16178
376,04/03/2022,Minnesota Timberwolves,Oklahoma City Thunder,15180
377,04/03/2022,Cleveland Cavaliers,Philadelphia 76ers,21391
378,04/03/2022,New York Knicks,Phoenix Suns,17071
379,04/03/2022,Orlando Magic,Toronto Raptors,19081
380,04/03/2022,Atlanta Hawks,Washington Wizards,15927
381,03/03/2022,Chicago Bulls,Atlanta Hawks,17522
382,03/03/2022,Memphis Grizzlies,Boston Celtics,19156
383,03/03/2022,Miami Heat,Brooklyn Nets,17732
384,03/03/2022,Golden State Warriors,Dallas Mavericks,20229
385,03/03/2022,Los Angeles Lakers,Los Angeles Clippers,19068
386,03/03/2022,Sacramento Kings,San Antonio Spurs,13049
387,03/03/2022,Detroit Pistons,Toronto Raptors,19548
388,02/03/2022,Charlotte Hornets,Cleveland Cavaliers,19019
389,02/03/2022,Oklahoma City Thunder,Denver Nuggets,15167
390,02/03/2022,Utah Jazz,Houston Rockets,13583
391,02/03/2022,Miami Heat,Milwaukee Bucks,17341
392,02/03/2022,Sacramento Kings,New Orleans Pelicans,15490
393,02/03/2022,Indiana Pacers,Orlando Magic,11221
394,02/03/2022,New York Knicks,Philadelphia 76ers,21333
395,02/03/2022,Portland Trail Blazers,Phoenix Suns,17071
396,01/03/2022,Atlanta Hawks,Boston Celtics,19156
397,01/03/2022,Los Angeles Clippers,Houston Rockets,12949
398,01/03/2022,Dallas Mavericks,Los Angeles Lakers,17857
399,01/03/2022,Golden State Warriors,Minnesota Timberwolves,17136
400,01/03/2022,Brooklyn Nets,Toronto Raptors,18903
401,01/03/2022,Detroit Pistons,Washington Wizards,12122
402,28/02/2022,Toronto Raptors,Brooklyn Nets,17112
403,28/02/2022,Minnesota Timberwolves,Cleveland Cavaliers,18421
404,28/02/2022,San Antonio Spurs,Memphis Grizzlies,16812
405,28/02/2022,Chicago Bulls,Miami Heat,19683
406,28/02/2022,Charlotte Hornets,Milwaukee Bucks,17341
407,28/02/2022,Sacramento Kings,Oklahoma City Thunder,13945
408,28/02/2022,Indiana Pacers,Orlando Magic,13014
409,27/02/2022,Detroit Pistons,Charlotte Hornets,15348
410,27/02/2022,Dallas Mavericks,Golden State Warriors,18064
411,27/02/2022,Los Angeles Clippers,Houston Rockets,14324
412,27/02/2022,Boston Celtics,Indiana Pacers,16872
413,27/02/2022,New Orleans Pelicans,Los Angeles Lakers,17536
414,27/02/2022,Philadelphia 76ers,New York Knicks,19812
415,27/02/2022,Utah Jazz,Phoenix Suns,17071
416,27/02/2022,Denver Nuggets,Portland Trail Blazers,17771
417,26/02/2022,Toronto Raptors,Atlanta Hawks,17870
418,26/02/2022,Memphis Grizzlies,Chicago Bulls,21959
419,26/02/2022,Washington Wizards,Cleveland Cavaliers,19432
420,26/02/2022,Sacramento Kings,Denver Nuggets,19520
421,26/02/2022,Boston Celtics,Detroit Pistons,19122
422,26/02/2022,San Antonio Spurs,Miami Heat,19677
423,26/02/2022,Brooklyn Nets,Milwaukee Bucks,17341
424,25/02/2022,Toronto Raptors,Charlotte Hornets,17577
425,25/02/2022,Oklahoma City Thunder,Indiana Pacers,15182
426,25/02/2022,Los Angeles Clippers,Los Angeles Lakers,18997
427,25/02/2022,Philadelphia 76ers,Minnesota Timberwolves,16684
428,25/02/2022,Miami Heat,New York Knicks,19812
429,25/02/2022,Houston Rockets,Orlando Magic,16631
430,25/02/2022,New Orleans Pelicans,Phoenix Suns,17071
431,25/02/2022,Dallas Mavericks,Utah Jazz,18306
432,25/02/2022,San Antonio Spurs,Washington Wizards,15302
433,24/02/2022,Boston Celtics,Brooklyn Nets,17986
434,24/02/2022,Atlanta Hawks,Chicago Bulls,21236
435,24/02/2022,Cleveland Cavaliers,Detroit Pistons,15622
436,24/02/2022,Memphis Grizzlies,Minnesota Timberwolves,16326
437,24/02/2022,Phoenix Suns,Oklahoma City Thunder,14176
438,24/02/2022,Golden State Warriors,Portland Trail Blazers,20098
439,24/02/2022,Denver Nuggets,Sacramento Kings,15855
440,17/02/2022,Washington Wizards,Brooklyn Nets,17477
441,17/02/2022,Miami Heat,Charlotte Hornets,17029
442,17/02/2022,Houston Rockets,Los Angeles Clippers,17519
443,17/02/2022,Philadelphia 76ers,Milwaukee Bucks,17341
444,17/02/2022,Dallas Mavericks,New Orleans Pelicans,15906
445,16/02/2022,Detroit Pistons,Boston Celtics,19156
446,16/02/2022,Sacramento Kings,Chicago Bulls,19166
447,16/02/2022,Denver Nuggets,Golden State Warriors,18064
